,ISO3,year,GDP
6383,KOR,1984,2413.27650109593
6384,KOR,1985,2482.39995573606
6385,KOR,1986,2834.89033966815
6386,KOR,1987,3554.60600894471
6387,KOR,1988,4748.64064406123
6388,KOR,1989,5817.06556721983
6389,KOR,1990,6609.99728316175
6390,KOR,1991,7636.9480638849
6391,KOR,1992,8126.66206183629
6392,KOR,1993,8884.91946408987
6393,KOR,1994,10385.3904572997
6394,KOR,1995,12564.7243743092
6395,KOR,1996,13402.994604707
6396,KOR,1997,12398.4904543462
6397,KOR,1998,8281.71948271445
6398,KOR,1999,10672.4475586765
6399,KOR,2000,12257.0206622345
6400,KOR,2001,11561.2071745115
6401,KOR,2002,13165.08362497
6402,KOR,2003,14672.8057539465
6403,KOR,2004,16496.1316167114
6404,KOR,2005,19402.5026259549
6405,KOR,2006,21743.4774514254
6406,KOR,2007,24086.4104391677
6407,KOR,2008,21350.427979823
6408,KOR,2009,19143.8516053025
6409,KOR,2010,23079.2601257735
6410,KOR,2011,25097.595426845
6411,KOR,2012,25459.1689000965
6412,KOR,2013,27179.5170146052
6413,KOR,2014,29252.9312377352
6414,KOR,2015,28737.4391706499
6415,KOR,2016,29280.4403170048
6416,KOR,2017,31600.7358741365
6417,KOR,2018,33447.1562836166
6418,KOR,2019,31902.4169048194
6419,KOR,2020,31721.2989141857
6420,KOR,2021,35142.264267481
6421,KOR,2022,32422.5744864287
6422,KWT,1965,4081.42449229397
6423,KWT,1966,4228.74537064385
6424,KWT,1967,3930.18988310576
6425,KWT,1968,3909.45892538349
6426,KWT,1969,3726.83029850243
6427,KWT,1970,3579.58266654433
6428,KWT,1971,4518.73594781024
6429,KWT,1972,4870.44318448201
6430,KWT,1973,5573.05938661459
6431,KWT,1974,12622.884415058
6432,KWT,1975,10969.7386498759
6433,KWT,1976,11235.7579772065
6434,KWT,1977,11335.0892906304
6435,KWT,1978,11664.9317466083
6436,KWT,1979,17524.364335387
6437,KWT,1980,19170.9240803548
6438,KWT,1981,15929.8195568627
6439,KWT,1982,13053.953187369
6440,KWT,1983,12022.3182345871
6441,KWT,1984,11962.6517255022
6442,KWT,1985,11353.2315746685
6443,KWT,1986,9097.12587015857
6444,KWT,1987,10919.6755119373
6445,KWT,1988,9717.63050982926
6446,KWT,1989,11001.6799237829
6447,KWT,1990,11002.0656154304
6448,KWT,1991,8219.48018152099
6449,KWT,1992,12253.5794437877
6450,KWT,1993,14477.9510661167
6451,KWT,1994,15141.3033883149
6452,KWT,1995,16424.9754090658
6453,KWT,1996,18488.8396111305
6454,KWT,1997,17230.0551042858
6455,KWT,1998,14258.3558211835
6456,KWT,1999,16044.4937935013
6457,KWT,2000,19493.8880490915
6458,KWT,2001,17517.7061456004
6459,KWT,2002,18626.774923183
6460,KWT,2003,22781.082819458
6461,KWT,2004,27601.4000590722
6462,KWT,2005,36144.9949458716
6463,KWT,2006,42970.6964488258
6464,KWT,2007,45729.799339984
6465,KWT,2008,55595.4843129592
6466,KWT,2009,37906.2051851748
6467,KWT,2010,39212.5794137711
6468,KWT,2011,49010.3105001299
6469,KWT,2012,51271.0677569339
6470,KWT,2013,47762.7967032092
6471,KWT,2014,43239.8351779171
6472,KWT,2015,29315.1985079166
6473,KWT,2016,27026.6876602182
6474,KWT,2017,29258.2663270479
6475,KWT,2018,32012.1875249538
6476,KWT,2019,30666.2371314234
6477,KWT,2020,24297.7108020951
6478,KWT,2021,32324.8409043988
6479,KWT,2022,41079.5226998138
6480,LAC,1989,2253.41398794054
6481,LAC,1990,2610.16940739323
6482,LAC,1991,2713.53012971156
6483,LAC,1992,2873.68551387134
6484,LAC,1993,3389.44993369194
6485,LAC,1994,3790.50999248509
6486,LAC,1995,3921.02644500609
6487,LAC,1996,4209.75679386066
6488,LAC,1997,4520.31897824093
6489,LAC,1998,4487.53099552893
6490,LAC,1999,3924.4904479931
6491,LAC,2000,4277.23487087115
6492,LAC,2001,4112.63162330736
6493,LAC,2002,3653.39832192662
6494,LAC,2003,3681.47278079122
6495,LAC,2004,4140.53417365178
6496,LAC,2005,4942.70328861789
6497,LAC,2006,5694.99040491078
6498,LAC,2007,6646.1407448998
6499,LAC,2008,7594.32117307178
6500,LAC,2009,6964.38009740654
6501,LAC,2010,8616.30942241329
6502,LAC,2011,9945.02468102074
6503,LAC,2012,9792.18895723067
6504,LAC,2013,9937.19652727501
6505,LAC,2014,9870.61765396447
6506,LAC,2015,8301.02679356578
6507,LAC,2016,7972.03218839112
6508,LAC,2017,8788.35026750045
6509,LAC,2018,8446.59232232899
6510,LAC,2019,8246.5166728875
6511,LAC,2020,6889.46986082371
6512,LAC,2021,7873.98078159932
6513,LAC,2022,8971.78037168385
6514,LAO,1984,482.737389110848
6515,LAO,1985,632.527283901652
6516,LAO,1986,461.710506773855
6517,LAO,1987,274.584924981984
6518,LAO,1988,146.985767298847
6519,LAO,1989,170.273368867531
6520,LAO,1990,200.619148149693
6521,LAO,1991,231.696155212063
6522,LAO,1992,247.266111468387
6523,LAO,1993,283.386298300245
6524,LAO,1994,321.052911348254
6525,LAO,1995,357.901703065539
6526,LAO,1996,371.471748000928
6527,LAO,1997,339.190169518421
6528,LAO,1998,243.986443617621
6529,LAO,1999,272.36243261299
6530,LAO,2000,318.770922812242
6531,LAO,2001,320.419011071869
6532,LAO,2002,313.618440530675
6533,LAO,2003,355.651483553824
6534,LAO,2004,410.251318982826
6535,LAO,2005,467.379592708984
6536,LAO,2006,581.01024361377
6537,LAO,2007,699.041376065848
6538,LAO,2008,887.639734941678
6539,LAO,2009,936.790321414385
6540,LAO,2010,1127.83523605263
6541,LAO,2011,1363.72529042766
6542,LAO,2012,1566.00974499584
6543,LAO,2013,1815.44023786192
6544,LAO,2014,1984.5086701174
6545,LAO,2015,2125.45905698314
6546,LAO,2016,2309.0490761946
6547,LAO,2017,2439.4633552251
6548,LAO,2018,2553.36186646266
6549,LAO,2019,2598.50552320723
6550,LAO,2020,2593.35509719847
6551,LAO,2021,2535.62343413571
6552,LAO,2022,2054.43078086496
6553,LBN,1988,958.460577311836
6554,LBN,1989,770.953664956087
6555,LBN,1990,789.850392064409
6556,LBN,1991,1279.1806257385
6557,LBN,1992,1560.19870761742
6558,LBN,1993,2079.64617440574
6559,LBN,1994,2468.81984056547
6560,LBN,1995,2959.56085112676
6561,LBN,1996,3393.5033991725
6562,LBN,1997,3834.85621710957
6563,LBN,1998,4127.32005423634
6564,LBN,1999,4091.99400690503
6565,LBN,2000,3994.86114388889
6566,LBN,2001,4021.17726323273
6567,LBN,2002,4307.10082699491
