,ISO3,year,ndvi
46,GNQ,2016,0.7198128967285157
46,GNQ,2017,0.7249161560058595
46,GNQ,2018,0.72245361328125
46,GNQ,2019,0.7440586547851562
46,GNQ,2020,0.7231935180664061
46,GNQ,2021,0.7402414916992187
46,GNQ,2022,0.7325469177246093
58,GRC,1982,0.47930532226562506
58,GRC,1983,0.48182071228027334
58,GRC,1984,0.4785974304199218
58,GRC,1985,0.4894914947509766
58,GRC,1986,0.4883685852050782
58,GRC,1987,0.4892443817138671
58,GRC,1988,0.483294320678711
58,GRC,1989,0.48465545349121103
58,GRC,1990,0.4828632629394532
58,GRC,1991,0.4824323425292968
58,GRC,1992,0.48641670837402334
58,GRC,1993,0.48788885498046874
58,GRC,1994,0.48809792175292965
58,GRC,1995,0.5000268280029296
58,GRC,1996,0.49493985900878906
58,GRC,1997,0.49724171447753895
58,GRC,1998,0.5008144561767578
58,GRC,1999,0.4967202575683596
58,GRC,2000,0.494804541015625
58,GRC,2001,0.4946032592773437
58,GRC,2002,0.4932572784423827
58,GRC,2003,0.49066966857910166
58,GRC,2004,0.5033195526123047
58,GRC,2005,0.4897648132324219
58,GRC,2006,0.5051451843261718
58,GRC,2007,0.4964733184814454
58,GRC,2008,0.49527095947265604
58,GRC,2009,0.5087151824951173
58,GRC,2010,0.5072294097900389
58,GRC,2011,0.5272982757568357
58,GRC,2012,0.5029690246582031
58,GRC,2013,0.5074604431152343
58,GRC,2014,0.5255630187988284
58,GRC,2015,0.5212044158935548
58,GRC,2016,0.523679083251953
58,GRC,2017,0.526735629272461
58,GRC,2018,0.5373796142578124
58,GRC,2019,0.53747470703125
58,GRC,2020,0.5347419860839844
58,GRC,2021,0.5082538421630859
58,GRC,2022,0.5210839080810548
59,GTM,1982,0.751436332702637
59,GTM,1983,0.7466394653320313
59,GTM,1984,0.7457302780151366
59,GTM,1985,0.7613640899658202
59,GTM,1986,0.7591795196533202
59,GTM,1987,0.7539555892944336
59,GTM,1988,0.750354621887207
59,GTM,1989,0.7612144927978515
59,GTM,1990,0.7657159118652345
59,GTM,1991,0.760869743347168
59,GTM,1992,0.7710935821533206
59,GTM,1993,0.7649311294555665
59,GTM,1994,0.7632541046142577
