,ISO3,year,TFP
876,BGR,1983,86.12024274
877,BGR,1984,93.98654977
878,BGR,1985,82.89721939
879,BGR,1986,92.13896617
880,BGR,1987,89.07735081
881,BGR,1988,86.87536373
882,BGR,1989,91.6916376
883,BGR,1990,89.28006972
884,BGR,1991,84.08502798
885,BGR,1992,90.25724934
886,BGR,1993,82.80302334
887,BGR,1994,87.02284673
888,BGR,1995,98.36131655
889,BGR,1996,82.65331663
890,BGR,1997,95.01862465
891,BGR,1998,97.51906491
892,BGR,1999,102.613647
893,BGR,2000,117.6215882
894,BGR,2001,91.38882331
895,BGR,2002,88.73963473
896,BGR,2003,82.79159389
897,BGR,2004,89.56703115
898,BGR,2005,78.25166991
899,BGR,2006,87.21491102
900,BGR,2007,70.36740816
901,BGR,2008,93.71366022
902,BGR,2009,83.65415398
903,BGR,2010,102.9162263
904,BGR,2011,100.7733916
905,BGR,2012,96.34996817
906,BGR,2013,112.3347095
907,BGR,2014,111.210869
908,BGR,2015,100.0
909,BGR,2016,103.1167496
910,BGR,2017,104.8071652
911,BGR,2018,104.8069684
912,BGR,2019,96.78631525
913,BGR,2020,79.05150434
914,BGR,2021,96.00846448
915,BHR,1961,73.20448062
916,BHR,1962,72.78742816
917,BHR,1963,72.85045406
918,BHR,1964,73.54882243
919,BHR,1965,75.31501607
920,BHR,1966,69.7198278
921,BHR,1967,70.66950313
922,BHR,1968,69.20605796
923,BHR,1969,70.65862056
924,BHR,1970,72.79825049
925,BHR,1971,69.48463414
926,BHR,1972,58.62075748
927,BHR,1973,56.49594274
928,BHR,1974,59.38111238
929,BHR,1975,79.65570056
930,BHR,1976,106.7946959
931,BHR,1977,124.4549361
932,BHR,1978,115.8260409
933,BHR,1979,119.4631303
934,BHR,1980,132.7585685
935,BHR,1981,50.87721722
936,BHR,1982,54.63213112
937,BHR,1983,46.54571056
938,BHR,1984,49.14305268
939,BHR,1985,54.86611109
940,BHR,1986,41.34119406
941,BHR,1987,66.22647423
942,BHR,1988,50.48255326
943,BHR,1989,44.96130926
944,BHR,1990,33.26959537
945,BHR,1991,33.55341656
